,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act,ebit,pretax_inc,is_comp_net_income_adjust,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
cur_mkt_cap,1.0,0.248485069981941,0.04949740088662756,0.2223561707801349,0.622772320309731,0.8370716692992838,0.8839832120703237,0.8903551299521686,0.8359489156199773,-0.5726088337536699,0.7427376776296039,0.8949045561679222,0.7085594587129854,0.22800567538102706,0.6120690691702698,0.17400393997569827,0.5653813961571147,-0.2736318677088251,-0.5686548632225414,0.6064773359252195,0.5858994387372289,0.21963282361784967,0.445550662108454,0.46767154681413337,0.9137721229272712,-0.009517907156187663,0.5773057043077158,0.9200918846019027,0.31201290948340793,0.10623551132131985,0.03779318774806095,0.515675727313145,0.7723416044609849,0.9007213298957957,-0.27322437089666607,-0.5486457011005585,0.8886011629304783,0.8733464994042839,0.8846141284715675,0.08719488077701372,0.08459617795997756,0.36877553174482103
cash_and_marketable_securities,0.248485069981941,1.0,0.294843882365256,0.9220832024052438,0.2151292948418229,0.7992883260381992,0.4059030798639817,0.3678791633150288,0.525954914991796,-0.11022541147131007,0.5857911308178455,0.3844386204911692,0.7709861969382779,0.9123042891490055,0.6389314685589645,0.912006374546227,0.6460014368217717,-0.8585691777486614,0.10023200947480292,0.1945673632161171,0.515881287379856,0.5672434040826239,0.4606829426176571,0.17703736079343899,0.8855651458290882,-0.00969937369414777,0.2020859677348637,0.8864569329981261,0.2827574145879304,0.8346332370004542,0.010002652953216626,0.22184397483057025,0.3499606080412406,0.3840714189017373,-0.854805153799825,0.20694662478948295,0.428034195579252,0.3781076293918774,0.36137972954231395,0.8330716671541962,0.001146325662835894,0.8983324732990575
preferred_equity_and_minority_int,0.04949740088662756,0.294843882365256,1.0,0.23237517220559809,-0.009665770722698837,0.02646235072622318,0.029952953934811295,0.07495555002953949,0.12590362844639377,0.02434869372619361,0.16472396408439455,0.10261735128215455,-0.21339462529961697,0.33105245354101653,-0.20223209089601074,0.332439150704822,0.22329474495786988,-0.2955381009461904,0.03304011489263638,-0.009227892239452395,0.1206620810389117,0.09109904465076224,-0.07350404486806544,-0.1441432436633179,-0.008672399784040802,0.057107223110325914,-0.018575117646310455,0.024635430347490838,0.02132144753421349,0.3547003393811179,0.15617801025519415,0.05440614390816307,0.14337327489563592,0.0702850053072559,-0.30222992611761135,0.06507728911447559,0.049320792874347465,0.09441302903680804,0.0846157440769301,0.4463860831719777,0.1594283032158996,0.24886074162237606
short_and_long_term_debt,0.2223561707801349,0.9220832024052438,0.23237517220559809,1.0,0.27597995987058366,0.6578522011237807,0.39742613909853863,0.3356849880430635,0.49302109135418565,-0.21693361523541066,0.4953951906714094,0.3616180318918669,0.5197631908755092,0.9044935884687347,0.6297753133996042,0.9010601164532824,0.6640118886915761,-0.8577196705043356,0.19094267977426127,0.25923357040101996,0.41586258913955526,0.6043276124521927,0.4470909748887099,0.2606028175212231,0.5318257813168807,0.19658289712086666,0.334004422069648,0.6361937297220045,0.8729828174872942,0.8227640105162727,-0.04480752140181271,0.20290449164117447,0.32070195095059345,0.3492214191148981,-0.8504956002841672,0.27703273586925203,0.3673336569430041,0.3473270086455565,0.3589283014503885,0.8016888650242704,0.11939865136624139,0.9606556737657741
sales_rev_turn,0.622772320309731,0.2151292948418229,-0.009665770722698837,0.27597995987058366,1.0,0.8245648484608747,0.7104344308719235,0.6208193653874682,0.6761216884915665,-0.6152072027341131,0.5284948764170492,0.643126184247919,0.7132683333676881,0.2698114495500405,0.7387069698064985,0.21885315137699,0.5734491436379489,-0.27908200356875207,-0.3832922097704009,0.9983116125442628,0.35809985350493667,0.24437175661209146,0.9633250356845503,0.8651651723167093,0.6310962107191165,-0.02166948330988122,0.7004609541177529,0.7193675310954357,0.41829557603405376,0.11349349615358874,0.03836044024267085,0.3440099456593262,0.6205966470816562,0.592732561823412,-0.2742064818086257,-0.3636996784614773,0.6349958478044598,0.629745725482998,0.629981938191259,0.09269897937645048,0.3242710638979658,0.4100651516148934
gross_profit,0.8370716692992838,0.7992883260381992,0.02646235072622318,0.6578522011237807,0.8245648484608747,1.0,0.8964281156252736,0.7912896653283489,0.8738488441237728,-0.8148638717532416,0.6739459607680351,0.818714807610969,0.8420217351346169,0.8551117238368894,0.8182053766111379,0.7714324079890932,0.7907340841327318,-0.7736450409900998,-0.7204886520271133,0.8093234612830303,0.40887476147661556,0.7347612879402743,0.6425074839729001,0.7605263585431256,0.8407781844098767,0.08915201834600626,0.8202827255050538,0.9191862368570313,0.49840052650274713,0.7238902696495776,0.055369354472343646,0.8067328260587782,0.7025229070587868,0.7931179984048039,-0.774288162666587,-0.7139670494845418,0.818714807610969,0.7837767072784082,0.7969206542509332,0.008525884675126189,0.25074632531403196,0.8376836500670676
ebitda,0.8839832120703237,0.4059030798639817,0.029952953934811295,0.39742613909853863,0.7104344308719235,0.8964281156252736,1.0,0.958673762730885,0.9771553004485203,-0.6980474585834093,0.8678144723853879,0.9693866570738299,0.7389677890571272,0.49065824415466125,0.6348995494279249,0.37774374421604023,0.8103038439472161,-0.5103279799811762,-0.5347748046693993,0.694077697528672,0.6909251833710658,0.3283529728663116,0.540474742641171,0.5820521729705396,0.9699064772075876,-0.1215532202657131,0.772404000387265,0.9935966838624517,0.4496224045126387,0.23163820611373656,-0.05941868456724647,0.9590958833874287,0.9025787794324843,0.9558159999179746,-0.5015630770540538,-0.5225357869535329,0.9721394445286577,0.960603611137063,0.9572114151725993,0.1705184911056583,0.22263961491569112,0.6216841671779515
earn_for_common,0.8903551299521686,0.3678791633150288,0.07495555002953949,0.3356849880430635,0.6208193653874682,0.7912896653283489,0.958673762730885,1.0,0.924989063591619,-0.5283949491929475,0.871800195488206,0.9900227434811856,0.6919784155570123,0.3698691621418706,0.5543026397232395,0.31048719653051426,0.7061425044775009,-0.40003227071252123,-0.5689662371587967,0.6024074828310784,0.7690251610701283,0.26170724494798897,0.4613224595360345,0.42292518053314115,0.975882513762778,-0.23697315589224052,0.6007572827424921,0.9437388487976234,0.29158430313079986,0.2665163615622294,-0.11370161274174354,0.5656663870662412,0.9263143348439612,0.9989902172640589,-0.39658437116446393,-0.5358785792762074,0.9840000630062559,0.9964371669071733,0.9810011540870226,0.22770738011450856,0.1518683438230013,0.5019852491314434
cf_cash_from_oper,0.8359489156199773,0.525954914991796,0.12590362844639377,0.49302109135418565,0.6761216884915665,0.8738488441237728,0.9771553004485203,0.924989063591619,1.0,-0.6056676043161647,0.926156350056762,0.9353273379961214,0.7418851305187469,0.49683368728685634,0.6288189592302533,0.43897860229577884,0.7847423198302929,-0.5687830720388166,-0.4597730615236966,0.6565979370364627,0.7865215508291412,0.3808166811634597,0.5399997968904039,0.5618901059984537,0.9690647628556006,-0.14009290921199308,0.7002858113214266,0.9822251248513921,0.4113006434846324,0.40784171748773057,-0.04683493121821049,0.5416718198841924,0.8852209640012416,0.9218203220938811,-0.5645414900824436,-0.4108983108097272,0.9588316194707783,0.9296096189823259,0.9245053980107062,0.3240573677722988,0.1750631943894564,0.6435160798518512
capital_expend,-0.5726088337536699,-0.11022541147131007,0.02434869372619361,-0.21693361523541066,-0.6152072027341131,-0.8148638717532416,-0.6980474585834093,-0.5283949491929475,-0.6056676043161647,1.0,-0.2607817041829775,-0.5269320553758157,-0.5895511512522457,-0.14979736563286178,-0.5370927081888508,-0.08652579851275054,-0.5802305237102388,0.26898575113683953,0.2694831774475182,-0.6026806244386403,-0.04200101612104701,-0.1718204294433257,-0.4606977594562617,-0.6701686859904777,-0.5360604671102646,0.020866605458171556,-0.86302233937297,-0.7181097251826911,-0.43673231393672346,-0.00960055813790455,0.08415298931807687,-0.283343035136414,-0.4415916703612436,-0.5137584107328026,0.265023391308257,0.2630667312338108,-0.5454507251362866,-0.5163025172237243,-0.48135250957880005,0.009100828823868064,-0.24255593134302245,-0.3703795203636722
cf_free_cash_flow,0.7427376776296039,0.5857911308178455,0.16472396408439455,0.4953951906714094,0.5284948764170492,0.6739459607680351,0.8678144723853879,0.871800195488206,0.926156350056762,-0.2607817041829775,1.0,0.8849855949487073,0.6277213974463359,0.5316924085610432,0.5115662515576597,0.4914653998200396,0.6772113416969878,-0.5626091403599511,-0.4299606095526191,0.5107423291632613,0.9342496235487167,0.3803665746109274,0.440049898302931,0.32503517359185197,0.9356669437805857,-0.16857814628827067,0.4407590787243028,0.8507442077921844,0.2887429970642948,0.4814461200629975,-0.018008859570361534,0.5229455904613892,0.8646860516384592,0.8669509168281156,-0.5599604754866402,-0.37373268114937824,0.9222875318583013,0.8831557218921999,0.8729465599144437,0.39759228206415237,0.09865439527177318,0.6052867689869115
is_oper_inc,0.8949045561679222,0.3844386204911692,0.10261735128215455,0.3616180318918669,0.643126184247919,0.818714807610969,0.9693866570738299,0.9900227434811856,0.9353273379961214,-0.5269320553758157,0.8849855949487073,1.0,0.6977872515490638,0.3907829876912938,0.572447925219465,0.33309825974175983,0.7081084299003755,-0.4186341202323421,-0.5739604311797087,0.6246298934947887,0.7788597303098883,0.27064949624572077,0.47953155130057956,0.4386619811335071,0.9864679728271095,-0.12170871561961623,0.608073589017001,0.9553026174614556,0.3502258048336314,0.28389567213320277,-0.022360559309361264,0.5658612751005676,0.9354116365089062,0.98927439046036,-0.4152381499103476,-0.5390310670307984,0.9952746076036161,0.9910141319210187,0.9815047328185212,0.2419617823117703,0.1657749465673299,0.5212136666264371
bs_cur_asset_report,0.7085594587129854,0.7709861969382779,-0.21339462529961697,0.5197631908755092,0.7132683333676881,0.8420217351346169,0.7389677890571272,0.6919784155570123,0.7418851305187469,-0.5895511512522457,0.6277213974463359,0.6977872515490638,1.0,0.8140756728715651,0.922880639896507,0.7578592478848798,0.708398366347889,-0.5440748131467078,-0.37865298200075775,0.6970534252257612,0.46323546542198524,0.7426771838786772,0.6904108074260776,0.6466437913590023,0.7070693015278502,-0.05417013223210838,0.6257358476987618,0.7371713621558131,0.3377865334567837,0.6703144652537953,-0.02423645930698057,0.6863220911540748,0.6150235983820519,0.6808800682447251,-0.5451776422312945,-0.37180247075810674,0.6977872515490637,0.6862216819689695,0.6726301743941663,-0.017721133715395073,0.18105879199523625,0.7178470617333642
bs_tot_asset,0.22800567538102706,0.9123042891490055,0.33105245354101653,0.9044935884687347,0.2698114495500405,0.8551117238368894,0.49065824415466125,0.3698691621418706,0.49683368728685634,-0.14979736563286178,0.5316924085610432,0.3907829876912938,0.8140756728715651,1.0,0.815554634970216,0.9959133348925496,0.7363098351691948,-0.8745273456827188,0.04968871282113495,0.2522944933661968,0.45861285593472173,0.4583000468587479,0.6303561258977121,0.3238410079153037,0.6581376244418516,-0.02401837947232475,0.29049629173289165,0.7613544081301646,0.5780531465768329,0.9133290087631922,-0.02389262607086097,0.22113641442740456,0.35927511378411203,0.37662017945156473,-0.8765060624749513,0.14750699576183224,0.4483693562279773,0.38450657004093797,0.37785297300884074,0.9253075476745588,0.0866502489529774,0.919318498650515
bs_cur_liab,0.6120690691702698,0.6389314685589645,-0.20223209089601074,0.6297753133996042,0.7387069698064985,0.8182053766111379,0.6348995494279249,0.5543026397232395,0.6288189592302533,-0.5370927081888508,0.5115662515576597,0.572447925219465,0.922880639896507,0.815554634970216,1.0,0.8590806751921494,0.5605029879040928,-0.5210192576924986,-0.24415363910762203,0.7355272199783669,0.33250237582322567,0.6958795088961913,0.7853583352133678,0.6392155823596685,0.59012808137319,0.023849434940166093,0.6143535610665973,0.646209437658978,0.45862620436061624,0.5428432555470052,-0.025370918313175724,0.558829155616973,0.5080549937551355,0.5440422746483884,-0.5221376531582885,-0.23779711228141914,0.572447925219465,0.553797881140076,0.57495869217103,-0.008813161104332376,0.26404152327056296,0.6764413188504652
bs_tot_liab2,0.17400393997569827,0.912006374546227,0.332439150704822,0.9010601164532824,0.21885315137699,0.7714324079890932,0.37774374421604023,0.31048719653051426,0.43897860229577884,-0.08652579851275054,0.4914653998200396,0.33309825974175983,0.7578592478848798,0.9959133348925496,0.8590806751921494,1.0,0.6722082238952206,-0.8646897649457601,0.08998770362781841,0.20280685418377878,0.42680217295962863,0.44987136831886876,0.6228431813284078,0.23454668778093418,0.5125526703252086,0.10847078621792844,0.22577060874813767,0.616366626221073,0.5549824727420769,0.9195846777481677,-0.011623876317126074,0.18988595492898014,0.30351258188250796,0.3221935400949072,-0.8674017658316722,0.18824124555571917,0.34927123301532503,0.3253524198310342,0.32574260445707415,0.9335467758996948,0.056726727712777966,0.8930563641014478
total_equity,0.5653813961571147,0.6460014368217717,0.22329474495786988,0.6640118886915761,0.5734491436379489,0.7907340841327318,0.8103038439472161,0.7061425044775009,0.7847423198302929,-0.5802305237102388,0.6772113416969878,0.7081084299003755,0.708398366347889,0.7363098351691948,0.5605029879040928,0.6722082238952206,1.0,-0.6921484591469715,-0.26697748648139874,0.5510844341328142,0.5624634596199779,0.3864369690112236,0.5052378997382673,0.6455710653366344,0.728565962176141,-0.21663777028490988,0.6890423737141191,0.7867944321319875,0.379670628722073,0.62475611253453,-0.10841073875237894,0.40046152928094075,0.6715359452514825,0.6905810891275599,-0.6884314018420149,-0.20107897181048326,0.7361680962783451,0.7147622275372395,0.689104465277756,0.5912270902401768,0.28530328295874013,0.8455606741367173
cf_cash_from_inv_act,-0.2736318677088251,-0.8585691777486614,-0.2955381009461904,-0.8577196705043356,-0.27908200356875207,-0.7736450409900998,-0.5103279799811762,-0.40003227071252123,-0.5687830720388166,0.26898575113683953,-0.5626091403599511,-0.4186341202323421,-0.5440748131467078,-0.8745273456827188,-0.5210192576924986,-0.8646897649457601,-0.6921484591469715,1.0,-0.18655583428974534,-0.26082668343866156,-0.46278393717798794,-0.4066274736433678,-0.39791573095532373,-0.2947216289723954,-0.6658660704238131,0.002894714272597693,-0.34740184534948576,-0.7616031670684194,-0.4962607154377935,-0.876541610568358,0.03390454782685093,-0.24549206543777077,-0.3844390838811072,-0.41509574816226597,0.9900070314329378,-0.2766334055589314,-0.4765942527971189,-0.41165280931562775,-0.40020783961353074,-0.7918665917101437,-0.08731407986078313,-0.8696141666541423
cf_cash_from_fnc_act,-0.5686548632225414,0.10023200947480292,0.03304011489263638,0.19094267977426127,-0.3832922097704009,-0.7204886520271133,-0.5347748046693993,-0.5689662371587967,-0.4597730615236966,0.2694831774475182,-0.4299606095526191,-0.5739604311797087,-0.37865298200075775,0.04968871282113495,-0.24415363910762203,0.08998770362781841,-0.26697748648139874,-0.18655583428974534,1.0,-0.37755740019052386,-0.39592424013510286,0.21465810767058102,-0.41731356951303733,-0.24497843472980943,-0.8062290484788478,0.06277542338075284,-0.3519799681207284,-0.7806089335705396,-0.2919242522761661,0.19897555686567445,0.010631278118708481,-0.3258559966553342,-0.5254602124713224,-0.5541586278318177,-0.18490402505525394,0.9908579461384949,-0.5404951440438157,-0.5646628672727009,-0.5485381515391604,0.08242971383190788,-0.09490467824976506,0.03725823517826156
is_comp_sales,0.6064773359252195,0.1945673632161171,-0.009227892239452395,0.25923357040101996,0.9983116125442628,0.8093234612830303,0.694077697528672,0.6024074828310784,0.6565979370364627,-0.6026806244386403,0.5107423291632613,0.6246298934947887,0.6970534252257612,0.2522944933661968,0.7355272199783669,0.20280685418377878,0.5510844341328142,-0.26082668343866156,-0.37755740019052386,1.0,0.34073149418878346,0.23217780629050586,0.9683813004396833,0.8624543658709635,0.6130225989730209,-0.03130439053042986,0.6967200644715971,0.7017811895851883,0.4231984939412151,0.09462832720216934,0.03459536430368199,0.33260681262889896,0.6116622410151135,0.5719696724629129,-0.25608054850198986,-0.35932840428204893,0.6164800239968109,0.6129991372493748,0.6201671481803392,0.07750060597820715,0.3326767253274515,0.38942970816996464
