,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act,ebit,pretax_inc,is_comp_net_income_adjust,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
headline_fcf,0.5858994387372289,0.515881287379856,0.1206620810389117,0.41586258913955526,0.35809985350493667,0.40887476147661556,0.6909251833710658,0.7690251610701283,0.7865215508291412,-0.04200101612104701,0.9342496235487167,0.7788597303098883,0.46323546542198524,0.45861285593472173,0.33250237582322567,0.42680217295962863,0.5624634596199779,-0.46278393717798794,-0.39592424013510286,0.34073149418878346,1.0,0.311794240783953,0.28059666356525154,0.04806357803813989,0.7788494516248203,-0.19817958328053917,0.22927960562581184,0.6221390816493875,0.19448640666518976,0.42240453184990917,-0.056917002010127345,0.4588845730517519,0.7879118690256017,0.758521881203768,-0.46044926846374296,-0.34760087134522283,0.7944757945913089,0.7838540750601631,0.7619816084165101,0.3584502595698695,0.08681963799362523,0.5058772493470676
bs_cash_near_cash_item,0.21963282361784967,0.5672434040826239,0.09109904465076224,0.6043276124521927,0.24437175661209146,0.7347612879402743,0.3283529728663116,0.26170724494798897,0.3808166811634597,-0.1718204294433257,0.3803665746109274,0.27064949624572077,0.7426771838786772,0.4583000468587479,0.6958795088961913,0.44987136831886876,0.3864369690112236,-0.4066274736433678,0.21465810767058102,0.23217780629050586,0.311794240783953,1.0,0.656186737458318,0.23794507724420488,0.5803966059963981,-0.06313501633231794,0.2109566759669323,0.6226604385196324,0.3604631553648106,0.33756368241911927,0.00042104478347581236,0.14763058146044497,0.26447545608553713,0.2520135844814273,-0.41943682526215087,0.23495507592327938,0.330345783249006,0.2689389326649443,0.264233552149809,0.3715202408369715,0.06129363875122059,0.5750370235359814
is_cogs_to_fe_and_pp_and_g,0.445550662108454,0.4606829426176571,-0.07350404486806544,0.4470909748887099,0.9633250356845503,0.6425074839729001,0.540474742641171,0.4613224595360345,0.5399997968904039,-0.4606977594562617,0.440049898302931,0.47953155130057956,0.6904108074260776,0.6303561258977121,0.7853583352133678,0.6228431813284078,0.5052378997382673,-0.39791573095532373,-0.41731356951303733,0.9683813004396833,0.28059666356525154,0.656186737458318,1.0,0.8067118970985181,0.44433208459635626,-0.08807737141059747,0.5550425577740942,0.5297132992916006,0.32286442411608085,0.37099221035466395,0.017713980820383363,0.4217801780660504,0.5057526359609346,0.4132645813696285,-0.4014744444783241,-0.4133811519311612,0.4795315513005796,0.47907118836706586,0.4743943537445126,-0.02826917011279833,0.3497339328027293,0.5484463448808176
is_tot_oper_exp,0.46767154681413337,0.17703736079343899,-0.1441432436633179,0.2606028175212231,0.8651651723167093,0.7605263585431256,0.5820521729705396,0.42292518053314115,0.5618901059984537,-0.6701686859904777,0.32503517359185197,0.4386619811335071,0.6466437913590023,0.3238410079153037,0.6392155823596685,0.23454668778093418,0.6455710653366344,-0.2947216289723954,-0.24497843472980943,0.8624543658709635,0.04806357803813989,0.23794507724420488,0.8067118970985181,1.0,0.45671273888332564,0.06763987688547296,0.7358301491439362,0.5872609406197594,0.4250641966798039,0.04855712438150263,-0.06920055009764482,0.21187894872828483,0.3906681399265234,0.422112363153692,-0.29450133472573087,-0.23676055836062732,0.43428032318665183,0.42574113561147364,0.41197865549057544,0.02676070769663285,0.25628817870985526,0.4435182638404281
is_comparable_ebit,0.9137721229272712,0.8855651458290882,-0.008672399784040802,0.5318257813168807,0.6310962107191165,0.8407781844098767,0.9699064772075876,0.975882513762778,0.9690647628556006,-0.5360604671102646,0.9356669437805857,0.9864679728271095,0.7070693015278502,0.6581376244418516,0.59012808137319,0.5125526703252086,0.728565962176141,-0.6658660704238131,-0.8062290484788478,0.6130225989730209,0.7788494516248203,0.5803966059963981,0.44433208459635626,0.45671273888332564,1.0,0.11744060382511273,0.60081516219117,0.9677640543623258,0.4193715679062254,0.32513228132071326,0.018621483626887793,0.9933279738839202,0.9410508076916619,0.9772346699943805,-0.6239807196946592,-0.8029313142875304,0.9864502709696076,0.9775676126727578,0.9938558248679106,0.044142343271040975,0.14593114424763978,0.7296445651227459
is_non_operating_inc_loss_gaap,-0.009517907156187663,-0.00969937369414777,0.057107223110325914,0.19658289712086666,-0.02166948330988122,0.08915201834600626,-0.1215532202657131,-0.23697315589224052,-0.14009290921199308,0.020866605458171556,-0.16857814628827067,-0.12170871561961623,-0.05417013223210838,-0.02401837947232475,0.023849434940166093,0.10847078621792844,-0.21663777028490988,0.002894714272597693,0.06277542338075284,-0.03130439053042986,-0.19817958328053917,-0.06313501633231794,-0.08807737141059747,0.06763987688547296,0.11744060382511273,1.0,-0.100092269118958,0.1343970987019851,0.27991804274930077,-0.009026953335559517,0.7145170635935392,-0.044090367319996424,-0.3075907240152355,-0.12420107090295236,0.009849345482569927,0.06274057088621227,-0.12170871561961623,-0.25763352773206943,-0.1742467056868001,0.004686814407608459,-0.12731503661027546,-0.0428206770494198
cf_depr_amort,0.5773057043077158,0.2020859677348637,-0.018575117646310455,0.334004422069648,0.7004609541177529,0.8202827255050538,0.772404000387265,0.6007572827424921,0.7002858113214266,-0.86302233937297,0.4407590787243028,0.608073589017001,0.6257358476987618,0.29049629173289165,0.6143535610665973,0.22577060874813767,0.6890423737141191,-0.34740184534948576,-0.3519799681207284,0.6967200644715971,0.22927960562581184,0.2109566759669323,0.5550425577740942,0.7358301491439362,0.60081516219117,-0.100092269118958,1.0,0.7612653676346834,0.5960093904115313,0.13459778709228998,-0.14223626039556064,0.5842204362210608,0.5752670282390414,0.5643185045947572,-0.34062248933222455,-0.33166948089259835,0.6047004557795076,0.6059087759088295,0.6087421806774407,0.11413720714893515,0.3269242618743733,0.4944105243074365
is_comparable_ebitda,0.9200918846019027,0.8864569329981261,0.024635430347490838,0.6361937297220045,0.7193675310954357,0.9191862368570313,0.9935966838624517,0.9437388487976234,0.9822251248513921,-0.7181097251826911,0.8507442077921844,0.9553026174614556,0.7371713621558131,0.7613544081301646,0.646209437658978,0.616366626221073,0.7867944321319875,-0.7616031670684194,-0.7806089335705396,0.7017811895851883,0.6221390816493875,0.6226604385196324,0.5297132992916006,0.5872609406197594,0.9677640543623258,0.1343970987019851,0.7612653676346834,1.0,0.48331406062926824,0.32022942903615814,0.010617979742918573,0.9536871612063107,0.8925368983254791,0.9435864985900744,-0.7054256850931836,-0.7761832114676129,0.9552479234308396,0.9424745401786812,0.9542907774507232,0.05104154958511688,0.1844760758879451,0.8225822583944145
is_int_expense,0.31201290948340793,0.2827574145879304,0.02132144753421349,0.8729828174872942,0.41829557603405376,0.49840052650274713,0.4496224045126387,0.29158430313079986,0.4113006434846324,-0.43673231393672346,0.2887429970642948,0.3502258048336314,0.3377865334567837,0.5780531465768329,0.45862620436061624,0.5549824727420769,0.379670628722073,-0.4962607154377935,-0.2919242522761661,0.4231984939412151,0.19448640666518976,0.3604631553648106,0.32286442411608085,0.4250641966798039,0.4193715679062254,0.27991804274930077,0.5960093904115313,0.48331406062926824,1.0,0.22096245108251397,-0.15192914184125758,0.17848595299278786,0.3005750372976078,0.2962446376486447,-0.4880945298151734,-0.2905341794939443,0.3502258048336314,0.3020470904848367,0.3620611286782047,0.1034128846610706,0.4334593589033583,0.6814057018827869
is_int_inc,0.10623551132131985,0.8346332370004542,0.3547003393811179,0.8227640105162727,0.11349349615358874,0.7238902696495776,0.23163820611373656,0.2665163615622294,0.40784171748773057,-0.00960055813790455,0.4814461200629975,0.28389567213320277,0.6703144652537953,0.9133290087631922,0.5428432555470052,0.9195846777481677,0.62475611253453,-0.876541610568358,0.19897555686567445,0.09462832720216934,0.42240453184990917,0.33756368241911927,0.37099221035466395,0.04855712438150263,0.32513228132071326,-0.009026953335559517,0.13459778709228998,0.32022942903615814,0.22096245108251397,1.0,0.007237596275889082,0.2760319925929233,0.2867921763733248,0.2740710796382155,-0.8830991626257911,0.2819888252700627,0.2529557253958737,0.2876308622703818,0.27295842413253757,0.8970313540331946,-0.01543931502672293,0.8173179521969195
is_other_nonop_inc_loss_gaap,0.03779318774806095,0.010002652953216626,0.15617801025519415,-0.04480752140181271,0.03836044024267085,0.055369354472343646,-0.05941868456724647,-0.11370161274174354,-0.04683493121821049,0.08415298931807687,-0.018008859570361534,-0.022360559309361264,-0.02423645930698057,-0.02389262607086097,-0.025370918313175724,-0.011623876317126074,-0.10841073875237894,0.03390454782685093,0.010631278118708481,0.03459536430368199,-0.056917002010127345,0.00042104478347581236,0.017713980820383363,-0.06920055009764482,0.018621483626887793,0.7145170635935392,-0.14223626039556064,0.010617979742918573,-0.15192914184125758,0.007237596275889082,1.0,-0.014239565858697359,-0.09977104009035666,-0.08256329194257574,0.03540711876286633,0.011621018192871648,-0.02274603909226477,-0.11779181160368572,-0.08157086286265237,-0.006332631410986358,-0.22624563203787995,-0.07225664261387901
is_comp_ptp_ex_stk_based_comp,0.515675727313145,0.22184397483057025,0.05440614390816307,0.20290449164117447,0.3440099456593262,0.8067328260587782,0.9590958833874287,0.5656663870662412,0.5416718198841924,-0.283343035136414,0.5229455904613892,0.5658612751005676,0.6863220911540748,0.22113641442740456,0.558829155616973,0.18988595492898014,0.40046152928094075,-0.24549206543777077,-0.3258559966553342,0.33260681262889896,0.4588845730517519,0.14763058146044497,0.4217801780660504,0.21187894872828483,0.9933279738839202,-0.044090367319996424,0.5842204362210608,0.9536871612063107,0.17848595299278786,0.2760319925929233,-0.014239565858697359,1.0,0.5341767088657989,0.5663047059416322,-0.24390778005847993,-0.3058848841871354,0.5507306749529646,0.5658290910866686,0.5471479569833906,0.1393191163072629,0.06614263260773885,0.29079637790084106
is_inc_tax_exp,0.7723416044609849,0.3499606080412406,0.14337327489563592,0.32070195095059345,0.6205966470816562,0.7025229070587868,0.9025787794324843,0.9263143348439612,0.8852209640012416,-0.4415916703612436,0.8646860516384592,0.9354116365089062,0.6150235983820519,0.35927511378411203,0.5080549937551355,0.30351258188250796,0.6715359452514825,-0.3844390838811072,-0.5254602124713224,0.6116622410151135,0.7879118690256017,0.26447545608553713,0.5057526359609346,0.3906681399265234,0.9410508076916619,-0.3075907240152355,0.5752670282390414,0.8925368983254791,0.3005750372976078,0.2867921763733248,-0.09977104009035666,0.5341767088657989,1.0,0.9283730251769124,-0.38344020585964217,-0.49275730235154064,0.9309116579670872,0.9521185309441608,0.9091653232135386,0.21090854502643178,0.23142186450435473,0.47842573161407453
is_comp_net_income_gaap,0.9007213298957957,0.3840714189017373,0.0702850053072559,0.3492214191148981,0.592732561823412,0.7931179984048039,0.9558159999179746,0.9989902172640589,0.9218203220938811,-0.5137584107328026,0.8669509168281156,0.98927439046036,0.6808800682447251,0.37662017945156473,0.5440422746483884,0.3221935400949072,0.6905810891275599,-0.41509574816226597,-0.5541586278318177,0.5719696724629129,0.758521881203768,0.2520135844814273,0.4132645813696285,0.422112363153692,0.9772346699943805,-0.12420107090295236,0.5643185045947572,0.9435864985900744,0.2962446376486447,0.2740710796382155,-0.08256329194257574,0.5663047059416322,0.9283730251769124,1.0,-0.41177317434819527,-0.5195181400505059,0.9834246293015788,0.9965220425237933,0.9811388722470791,0.2432464220607518,0.10773156281971688,0.5010377766317431
cb_cf_net_cash_investing_act,-0.27322437089666607,-0.854805153799825,-0.30222992611761135,-0.8504956002841672,-0.2742064818086257,-0.774288162666587,-0.5015630770540538,-0.39658437116446393,-0.5645414900824436,0.265023391308257,-0.5599604754866402,-0.4152381499103476,-0.5451776422312945,-0.8765060624749513,-0.5221376531582885,-0.8674017658316722,-0.6884314018420149,0.9900070314329378,-0.18490402505525394,-0.25608054850198986,-0.46044926846374296,-0.41943682526215087,-0.4014744444783241,-0.29450133472573087,-0.6239807196946592,0.009849345482569927,-0.34062248933222455,-0.7054256850931836,-0.4880945298151734,-0.8830991626257911,0.03540711876286633,-0.24390778005847993,-0.38344020585964217,-0.41177317434819527,1.0,-0.2742904897188017,-0.4694687174293261,-0.4088264225393666,-0.3973808458374792,-0.8095412866302604,-0.085621576228498,-0.8629890648790773
cb_cf_net_cash_financing_act,-0.5486457011005585,0.20694662478948295,0.06507728911447559,0.27703273586925203,-0.3636996784614773,-0.7139670494845418,-0.5225357869535329,-0.5358785792762074,-0.4108983108097272,0.2630667312338108,-0.37373268114937824,-0.5390310670307984,-0.37180247075810674,0.14750699576183224,-0.23779711228141914,0.18824124555571917,-0.20107897181048326,-0.2766334055589314,0.9908579461384949,-0.35932840428204893,-0.34760087134522283,0.23495507592327938,-0.4133811519311612,-0.23676055836062732,-0.8029313142875304,0.06274057088621227,-0.33166948089259835,-0.7761832114676129,-0.2905341794939443,0.2819888252700627,0.011621018192871648,-0.3058848841871354,-0.49275730235154064,-0.5195181400505059,-0.2742904897188017,1.0,-0.5292896621244035,-0.5302595713296631,-0.5136358555260464,0.17318202689339687,-0.09490041847358964,0.12319296263093155
ebit,0.8886011629304783,0.428034195579252,0.049320792874347465,0.3673336569430041,0.6349958478044598,0.818714807610969,0.9721394445286577,0.9840000630062559,0.9588316194707783,-0.5454507251362866,0.9222875318583013,0.9952746076036161,0.6977872515490637,0.4483693562279773,0.572447925219465,0.34927123301532503,0.7361680962783451,-0.4765942527971189,-0.5404951440438157,0.6164800239968109,0.7944757945913089,0.330345783249006,0.4795315513005796,0.43428032318665183,0.9864502709696076,-0.12170871561961623,0.6047004557795076,0.9552479234308396,0.3502258048336314,0.2529557253958737,-0.02274603909226477,0.5507306749529646,0.9309116579670872,0.9834246293015788,-0.4694687174293261,-0.5292896621244035,1.0,0.9859478829217476,0.9737314878723334,0.18068046968916332,0.16640389337313352,0.5696110998818225
pretax_inc,0.8733464994042839,0.3781076293918774,0.09441302903680804,0.3473270086455565,0.629745725482998,0.7837767072784082,0.960603611137063,0.9964371669071733,0.9296096189823259,-0.5163025172237243,0.8831557218921999,0.9910141319210187,0.6862216819689695,0.38450657004093797,0.553797881140076,0.3253524198310342,0.7147622275372395,-0.41165280931562775,-0.5646628672727009,0.6129991372493748,0.7838540750601631,0.2689389326649443,0.47907118836706586,0.42574113561147364,0.9775676126727578,-0.25763352773206943,0.6059087759088295,0.9424745401786812,0.3020470904848367,0.2876308622703818,-0.11779181160368572,0.5658290910866686,0.9521185309441608,0.9965220425237933,-0.4088264225393666,-0.5302595713296631,0.9859478829217476,1.0,0.9779345769551551,0.23999442330801424,0.17892159269469737,0.5134927583166075
is_comp_net_income_adjust,0.8846141284715675,0.36137972954231395,0.0846157440769301,0.3589283014503885,0.629981938191259,0.7969206542509332,0.9572114151725993,0.9810011540870226,0.9245053980107062,-0.48135250957880005,0.8729465599144437,0.9815047328185212,0.6726301743941663,0.37785297300884074,0.57495869217103,0.32574260445707415,0.689104465277756,-0.40020783961353074,-0.5485381515391604,0.6201671481803392,0.7619816084165101,0.264233552149809,0.4743943537445126,0.41197865549057544,0.9938558248679106,-0.1742467056868001,0.6087421806774407,0.9542907774507232,0.3620611286782047,0.27295842413253757,-0.08157086286265237,0.5471479569833906,0.9091653232135386,0.9811388722470791,-0.3973808458374792,-0.5136358555260464,0.9737314878723334,0.9779345769551551,1.0,0.23398326478175846,0.1768675293462133,0.5029005374457254
bs_pfd_eqy,0.08719488077701372,0.8330716671541962,0.4463860831719777,0.8016888650242704,0.09269897937645048,0.008525884675126189,0.1705184911056583,0.22770738011450856,0.3240573677722988,0.009100828823868064,0.39759228206415237,0.2419617823117703,-0.017721133715395073,0.9253075476745588,-0.008813161104332376,0.9335467758996948,0.5912270902401768,-0.7918665917101437,0.08242971383190788,0.07750060597820715,0.3584502595698695,0.3715202408369715,-0.02826917011279833,0.02676070769663285,0.044142343271040975,0.004686814407608459,0.11413720714893515,0.05104154958511688,0.1034128846610706,0.8970313540331946,-0.006332631410986358,0.1393191163072629,0.21090854502643178,0.2432464220607518,-0.8095412866302604,0.17318202689339687,0.18068046968916332,0.23999442330801424,0.23398326478175846,1.0,-0.00512510027129279,0.792341250543025
minority_noncontrolling_interest,0.08459617795997756,0.001146325662835894,0.1594283032158996,0.11939865136624139,0.3242710638979658,0.25074632531403196,0.22263961491569112,0.1518683438230013,0.1750631943894564,-0.24255593134302245,0.09865439527177318,0.1657749465673299,0.18105879199523625,0.0866502489529774,0.26404152327056296,0.056726727712777966,0.28530328295874013,-0.08731407986078313,-0.09490467824976506,0.3326767253274515,0.08681963799362523,0.06129363875122059,0.3497339328027293,0.25628817870985526,0.14593114424763978,-0.12731503661027546,0.3269242618743733,0.1844760758879451,0.4334593589033583,-0.01543931502672293,-0.22624563203787995,0.06614263260773885,0.23142186450435473,0.10773156281971688,-0.085621576228498,-0.09490041847358964,0.16640389337313352,0.17892159269469737,0.1768675293462133,-0.00512510027129279,1.0,0.1912291571062624
bs_tot_cap,0.36877553174482103,0.8983324732990575,0.24886074162237606,0.9606556737657741,0.4100651516148934,0.8376836500670676,0.6216841671779515,0.5019852491314434,0.6435160798518512,-0.3703795203636722,0.6052867689869115,0.5212136666264371,0.7178470617333642,0.919318498650515,0.6764413188504652,0.8930563641014478,0.8455606741367173,-0.8696141666541423,0.03725823517826156,0.38942970816996464,0.5058772493470676,0.5750370235359814,0.5484463448808176,0.4435182638404281,0.7296445651227459,-0.0428206770494198,0.4944105243074365,0.8225822583944145,0.6814057018827869,0.8173179521969195,-0.07225664261387901,0.29079637790084106,0.47842573161407453,0.5010377766317431,-0.8629890648790773,0.12319296263093155,0.5696110998818225,0.5134927583166075,0.5029005374457254,0.792341250543025,0.1912291571062624,1.0
